OrderID,Date,CustomerID,ProductID,Quantity,SellingPrice,TotalRevenue,DiscountAmt,ShippingCost,Channel,Status
ORD-000001,22-11-2023,CUST-0522,1205,3,2896.96,8690.88,2244.12,0,App,Delivered
ORD-000002,21-03-2023,CUST-0725,1213,3,2864.99,8594.96,222.04,0,Web,Delivered
ORD-000003,16-10-2024,CUST-0439,1106,1,1854.82,1854.82,3.18,0,App,Delivered
ORD-000004,21-04-2023,CUST-0374,1047,1,3558.62,3558.62,250.38,0,App,Delivered
ORD-000005,23-01-2024,CUST-0517,1062,1,285.47,285.47,40.53,88,App,Delivered
ORD-000006,16-06-2023,CUST-0624,1233,1,4085.42,4085.42,20.58,0,App,Returned
ORD-000007,17-12-2023,CUST-0779,1004,1,4243.59,4243.59,523.41,0,App,Delivered
ORD-000008,31-08-2024,CUST-0627,1174,2,1400.51,2801.02,330.98,0,App,Delivered
ORD-000009,20-03-2024,CUST-0671,1159,1,640.62,640.62,20.38,0,Web,Returned
ORD-000010,07-07-2024,CUST-0692,1159,1,637.45,637.45,23.55,0,Web,Returned
ORD-000011,07-06-2023,CUST-0039,1015,1,3016.82,3016.82,40.18,0,App,Delivered
ORD-000011,07-06-2023,CUST-0413,1042,1,2787.69,2787.69,89.31,0,App,Delivered
ORD-000012,29-04-2023,CUST-0029,1169,1,580.07,580.07,45.93,0,App,Delivered
ORD-000013,09-07-2023,CUST-0123,1237,1,4654,4654,134,0,App,Returned
ORD-000014,03-10-2023,CUST-0398,1214,1,3512.27,3512.27,409.73,0,Web,Returned
ORD-000015,28-02-2024,CUST-0950,1089,1,4435.33,4435.33,401.67,0,App,Delivered
ORD-000016,02-07-2024,CUST-0109,1155,2,2250.5,4500.99,423.01,0,App,Returned
ORD-000017,05-02-2023,CUST-0812,1005,2,3305.03,6610.05,901.95,0,App,Delivered
ORD-000018,04-04-2024,CUST-0877,1230,3,3880.52,11641.55,1987.45,0,App,Delivered
ORD-000019,30-11-2024,CUST-0186,1166,3,2304.18,6912.53,3059.47,0,Store,Delivered
ORD-000020,10-03-2023,CUST-0086,1233,1,3765.99,3765.99,340.01,0,Store,Delivered
ORD-000020,10-03-2023,CUST-0346,1091,1,699.84,699.84,82.16,0,App,Delivered
ORD-000021,03-06-2023,CUST-0847,1131,1,4401.08,4401.08,564.92,0,App,Delivered
ORD-000022,14-04-2023,CUST-0320,1205,2,3163.79,6327.57,962.43,0,App,Delivered
ORD-000023,08-08-2024,CUST-0649,1227,1,330.75,330.75,14.25,84,App,Returned
ORD-000024,10-02-2024,CUST-0415,1002,1,2462.02,2462.02,90.98,0,Web,Delivered
ORD-000025,21-01-2023,CUST-0086,1032,1,1621.66,1621.66,79.34,0,App,Delivered
ORD-000026,22-08-2023,CUST-0121,1188,3,2414.12,7242.35,515.65,0,App,Delivered
ORD-000027,23-10-2024,CUST-0268,1193,1,2135.03,2135.03,338.97,0,App,Delivered
ORD-000027,23-10-2024,CUST-0968,1064,1,1748.14,1748.14,14.86,0,Web,Delivered
ORD-000028,18-02-2024,CUST-0162,1072,2,1055.61,2111.22,320.78,0,Web,Returned
ORD-000029,01-03-2023,CUST-0191,1059,1,4051.06,4051.06,646.94,0,Web,Delivered
ORD-000030,01-06-2024,CUST-0505,1228,2,1053.15,2106.29,239.71,0,App,Returned
ORD-000031,30-04-2024,CUST-0760,1038,1,548.22,548.22,13.78,0,App,Delivered
ORD-000032,19-10-2023,CUST-0364,1051,1,1044.57,1044.57,153.43,0,App,Delivered
ORD-000032,19-10-2023,CUST-0400,1214,1,3800.38,3800.38,121.62,0,Web,Delivered
